scenario,policy,timestamp,state,equity,drawdown_pct
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-04-16T23:10:00Z,FLAT,8064.884458,19.3512
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-04-18T23:55:00Z,OPEN,8044.451811,19.5555
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-04-19T06:35:00Z,FLAT,8028.462617,19.7154
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-04-25T23:55:00Z,OPEN,8044.275222,19.5572
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-04-26T19:30:00Z,FLAT,8045.122512,19.5488
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-04-27T22:10:00Z,FLAT,8026.212943,19.7379
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-04-28T23:55:00Z,OPEN,8004.940972,19.9506
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-04-29T16:30:00Z,FLAT,7983.890327,20.1611
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-04-30T23:55:00Z,OPEN,7975.760685,20.2424
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-05-01T00:15:00Z,FLAT,7974.710197,20.2529
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-05-02T23:55:00Z,FLAT,7967.186947,20.3281
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-05-03T12:35:00Z,FLAT,7952.968674,20.4703
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-05-04T13:25:00Z,FLAT,7931.160577,20.6884
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-05-05T23:55:00Z,FLAT,7920.500545,20.795
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-05-06T08:05:00Z,FLAT,7906.107868,20.9389
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-05-10T18:10:00Z,FLAT,7879.820147,21.2018
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-05-14T20:15:00Z,FLAT,7870.478881,21.2952
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-05-15T23:40:00Z,FLAT,7849.32029,21.5068
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-05-16T09:05:00Z,FLAT,7847.918349,21.5208
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-05-17T23:55:00Z,OPEN,7842.444157,21.5756
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-05-18T12:40:00Z,FLAT,7829.419429,21.7058
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-05-20T23:55:00Z,OPEN,7824.277085,21.7572
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-05-21T11:05:00Z,FLAT,7813.251599,21.8675
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-05-23T23:55:00Z,OPEN,7795.10941,22.0489
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-05-24T01:35:00Z,FLAT,7791.236143,22.0876
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-05-26T23:55:00Z,OPEN,7779.21201,22.2079
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-05-27T23:55:00Z,OPEN,7758.842613,22.4116
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-05-28T23:55:00Z,OPEN,7773.484671,22.2652
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-05-29T15:20:00Z,FLAT,7754.880969,22.4512
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-05-30T21:05:00Z,FLAT,7740.239983,22.5976
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-02T23:55:00Z,OPEN,7729.760824,22.7024
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-03T18:05:00Z,FLAT,7710.922145,22.8908
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-04T23:30:00Z,FLAT,7693.000019,23.07
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-06T23:55:00Z,OPEN,7693.397387,23.066
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-07T15:05:00Z,FLAT,7648.962977,23.5104
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-08T20:40:00Z,FLAT,7641.491005,23.5851
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-09T16:25:00Z,FLAT,7630.630043,23.6937
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-13T14:40:00Z,FLAT,7617.853409,23.8215
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-14T19:50:00Z,FLAT,7599.463765,24.0054
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-16T23:55:00Z,OPEN,7599.547258,24.0045
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-17T23:50:00Z,FLAT,7577.150275,24.2285
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-18T21:05:00Z,FLAT,7553.887014,24.4611
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-19T23:55:00Z,OPEN,7546.740869,24.5326
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-20T23:55:00Z,OPEN,7573.386201,24.2661
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-21T23:55:00Z,OPEN,7607.924914,23.9208
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-22T22:05:00Z,FLAT,7568.47466,24.3153
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-23T21:55:00Z,FLAT,7566.655598,24.3334
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-24T20:05:00Z,FLAT,7541.938207,24.5806
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-25T15:05:00Z,FLAT,7519.796468,24.802
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-26T15:05:00Z,FLAT,7505.933187,24.9407
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-27T23:55:00Z,OPEN,7486.641758,25.1336
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-28T17:05:00Z,FLAT,7467.900343,25.321
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-29T20:40:00Z,FLAT,7449.756465,25.5024
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-06-30T14:20:00Z,FLAT,7422.369788,25.7763
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-07-01T23:20:00Z,FLAT,7409.60859,25.9039
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-07-02T23:55:00Z,OPEN,7386.993974,26.1301
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-07-03T23:55:00Z,OPEN,7381.311135,26.1869
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-07-04T14:05:00Z,FLAT,7365.753917,26.3425
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-07-06T12:10:00Z,FLAT,7358.67815,26.4132
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-07-09T19:00:00Z,FLAT,7353.465456,26.4653
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-07-10T21:30:00Z,FLAT,7358.752884,26.4125
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-07-11T23:55:00Z,OPEN,7348.51104,26.5149
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-07-12T15:25:00Z,FLAT,7332.378175,26.6762
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-07-13T23:55:00Z,OPEN,7353.413306,26.4659
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-07-14T17:55:00Z,FLAT,7317.735161,26.8226
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-07-20T14:40:00Z,FLAT,7300.038533,26.9996
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-07-22T10:05:00Z,FLAT,7296.944373,27.0306
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-07-23T23:55:00Z,OPEN,7285.986377,27.1401
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-07-24T01:10:00Z,FLAT,7280.968483,27.1903
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-07-26T23:55:00Z,OPEN,7275.883577,27.2412
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-07-27T14:05:00Z,FLAT,7260.744977,27.3926
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-07-28T20:05:00Z,FLAT,7253.205452,27.4679
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-07-29T23:55:00Z,OPEN,7245.053912,27.5495
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-07-30T19:15:00Z,FLAT,7235.721889,27.6428
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-07-31T14:05:00Z,FLAT,7222.741294,27.7726
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-08-01T23:55:00Z,OPEN,7231.694723,27.6831
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-08-02T12:30:00Z,FLAT,7214.8169,27.8518
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-08-03T22:05:00Z,FLAT,7203.877199,27.9612
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-08-04T18:05:00Z,FLAT,7197.548863,28.0245
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-08-07T23:55:00Z,OPEN,7193.572403,28.0643
