policy,sequence,kind,signal_close_at,scheduled_at,actual_at,price,quantity,reason,trade_id
B_gate_cooldown,3921,ENTRY_FILLED,2024-02-07T00:30:00Z,2024-02-07T00:35:00Z,2024-02-07T00:35:00Z,43094.10898,0.02320502787,,B_gate_cooldown-T03921-19037
B_gate_cooldown,3921,EXIT_FILLED,2024-02-07T00:30:00Z,2024-02-07T01:35:00Z,2024-02-07T01:35:00Z,43135.686,0.02320502787,,B_gate_cooldown-T03921-19037
B_gate_cooldown,3922,ENTRY_FILLED,2024-02-07T01:30:00Z,2024-02-07T01:35:00Z,2024-02-07T01:35:00Z,43144.314,0.02317802527,,B_gate_cooldown-T03922-19039
B_gate_cooldown,3922,EXIT_FILLED,2024-02-07T01:30:00Z,2024-02-07T02:35:00Z,2024-02-07T02:35:00Z,43030.79649,0.02317802527,,B_gate_cooldown-T03922-19039
B_gate_cooldown,3923,ENTRY_FILLED,2024-02-07T16:00:00Z,2024-02-07T16:05:00Z,2024-02-07T16:05:00Z,43089.60853,0.0232074515,,B_gate_cooldown-T03923-19041
B_gate_cooldown,3923,EXIT_FILLED,2024-02-07T16:00:00Z,2024-02-07T17:05:00Z,2024-02-07T17:05:00Z,43252.07436,0.0232074515,,B_gate_cooldown-T03923-19041
B_gate_cooldown,3924,ENTRY_FILLED,2024-02-07T17:00:00Z,2024-02-07T17:05:00Z,2024-02-07T17:05:00Z,43260.72564,0.02311565479,,B_gate_cooldown-T03924-19043
B_gate_cooldown,3924,EXIT_FILLED,2024-02-07T17:00:00Z,2024-02-07T18:05:00Z,2024-02-07T18:05:00Z,43495.65,0.02311565479,,B_gate_cooldown-T03924-19043
B_gate_cooldown,3925,ENTRY_FILLED,2024-02-07T18:00:00Z,2024-02-07T18:05:00Z,2024-02-07T18:05:00Z,43504.35,0.02298620713,,B_gate_cooldown-T03925-19045
B_gate_cooldown,3925,EXIT_FILLED,2024-02-07T18:00:00Z,2024-02-07T19:05:00Z,2024-02-07T19:05:00Z,43626.13695,0.02298620713,,B_gate_cooldown-T03925-19045
B_gate_cooldown,3926,ENTRY_FILLED,2024-02-07T19:00:00Z,2024-02-07T19:05:00Z,2024-02-07T19:05:00Z,43634.86305,0.02291745476,,B_gate_cooldown-T03926-19047
B_gate_cooldown,3926,EXIT_FILLED,2024-02-07T19:00:00Z,2024-02-07T20:05:00Z,2024-02-07T20:05:00Z,43717.02786,0.02291745476,,B_gate_cooldown-T03926-19047
B_gate_cooldown,3927,ENTRY_FILLED,2024-02-07T20:00:00Z,2024-02-07T20:05:00Z,2024-02-07T20:05:00Z,43725.77214,0.02286980769,,B_gate_cooldown-T03927-19049
B_gate_cooldown,3927,EXIT_FILLED,2024-02-07T20:00:00Z,2024-02-07T21:05:00Z,2024-02-07T21:05:00Z,44189.5806,0.02286980769,,B_gate_cooldown-T03927-19049
B_gate_cooldown,3928,ENTRY_FILLED,2024-02-07T21:00:00Z,2024-02-07T21:05:00Z,2024-02-07T21:05:00Z,44198.4194,0.02262524347,,B_gate_cooldown-T03928-19051
B_gate_cooldown,3928,EXIT_FILLED,2024-02-07T21:00:00Z,2024-02-07T22:05:00Z,2024-02-07T22:05:00Z,44174.38212,0.02262524347,,B_gate_cooldown-T03928-19051
B_gate_cooldown,3929,ENTRY_FILLED,2024-02-07T22:00:00Z,2024-02-07T22:05:00Z,2024-02-07T22:05:00Z,44183.21788,0.02263302783,,B_gate_cooldown-T03929-19053
B_gate_cooldown,3929,EXIT_FILLED,2024-02-07T22:00:00Z,2024-02-07T23:05:00Z,2024-02-07T23:05:00Z,44176.18194,0.02263302783,,B_gate_cooldown-T03929-19053
B_gate_cooldown,3930,ENTRY_FILLED,2024-02-07T23:00:00Z,2024-02-07T23:05:00Z,2024-02-07T23:05:00Z,44185.01806,0.02263210572,,B_gate_cooldown-T03930-19055
B_gate_cooldown,3930,EXIT_FILLED,2024-02-07T23:00:00Z,2024-02-08T00:05:00Z,2024-02-08T00:05:00Z,44395.36002,0.02263210572,,B_gate_cooldown-T03930-19055
B_gate_cooldown,3931,ENTRY_FILLED,2024-02-08T00:00:00Z,2024-02-08T00:05:00Z,2024-02-08T00:05:00Z,44404.23998,0.02252037194,,B_gate_cooldown-T03931-19057
B_gate_cooldown,3931,EXIT_FILLED,2024-02-08T00:00:00Z,2024-02-08T01:05:00Z,2024-02-08T01:05:00Z,44545.34502,0.02252037194,,B_gate_cooldown-T03931-19057
B_gate_cooldown,3932,ENTRY_FILLED,2024-02-08T01:00:00Z,2024-02-08T01:05:00Z,2024-02-08T01:05:00Z,44554.25498,0.02244454543,,B_gate_cooldown-T03932-19059
B_gate_cooldown,3932,EXIT_FILLED,2024-02-08T01:00:00Z,2024-02-08T02:05:00Z,2024-02-08T02:05:00Z,44670.43251,0.02244454543,,B_gate_cooldown-T03932-19059
B_gate_cooldown,3933,ENTRY_FILLED,2024-02-08T02:00:00Z,2024-02-08T02:05:00Z,2024-02-08T02:05:00Z,44679.36749,0.02238169554,,B_gate_cooldown-T03933-19061
B_gate_cooldown,3933,EXIT_FILLED,2024-02-08T02:00:00Z,2024-02-08T03:05:00Z,2024-02-08T03:05:00Z,44659.33362,0.02238169554,,B_gate_cooldown-T03933-19061
B_gate_cooldown,3934,ENTRY_FILLED,2024-02-08T03:00:00Z,2024-02-08T03:05:00Z,2024-02-08T03:05:00Z,44668.26638,0.02238725791,,B_gate_cooldown-T03934-19063
B_gate_cooldown,3934,EXIT_FILLED,2024-02-08T03:00:00Z,2024-02-08T04:05:00Z,2024-02-08T04:05:00Z,44540.84547,0.02238725791,,B_gate_cooldown-T03934-19063
B_gate_cooldown,3935,ENTRY_FILLED,2024-02-08T04:00:00Z,2024-02-08T04:05:00Z,2024-02-08T04:05:00Z,44549.75453,0.0224468128,,B_gate_cooldown-T03935-19065
B_gate_cooldown,3935,EXIT_FILLED,2024-02-08T04:00:00Z,2024-02-08T05:05:00Z,2024-02-08T05:05:00Z,44478.05175,0.0224468128,,B_gate_cooldown-T03935-19065
B_gate_cooldown,3936,ENTRY_FILLED,2024-02-08T05:15:00Z,2024-02-08T05:20:00Z,2024-02-08T05:20:00Z,44502.74983,0.02247052157,,B_gate_cooldown-T03936-19067
B_gate_cooldown,3936,EXIT_FILLED,2024-02-08T05:15:00Z,2024-02-08T06:20:00Z,2024-02-08T06:20:00Z,44500.64949,0.02247052157,,B_gate_cooldown-T03936-19067
B_gate_cooldown,3937,ENTRY_FILLED,2024-02-08T06:30:00Z,2024-02-08T06:35:00Z,2024-02-08T06:35:00Z,44510.35059,0.02246668442,,B_gate_cooldown-T03937-19069
B_gate_cooldown,3937,EXIT_FILLED,2024-02-08T06:30:00Z,2024-02-08T07:35:00Z,2024-02-08T07:35:00Z,44502.44931,0.02246668442,,B_gate_cooldown-T03937-19069
