policy,timestamp,state,mark_price,quantity,cash,reserved,unrealized_pnl,equity,drawdown_pct
B_gate_cooldown,2025-03-15T04:35:00Z,FLAT,84358,0,1769.993381,0,0,1769.993381,74.8223
B_gate_cooldown,2025-03-15T05:35:00Z,FLAT,84290.7,0,1767.996269,0,0,1767.996269,83.9264
B_gate_cooldown,2025-03-15T13:05:00Z,FLAT,84216,0,1769.759764,0,0,1769.759764,74.8244
B_gate_cooldown,2025-03-15T14:05:00Z,FLAT,84197.5,0,1768.340364,0,0,1768.340364,74.8373
B_gate_cooldown,2025-03-15T15:05:00Z,FLAT,84262.4,0,1767.910752,0,0,1767.910752,83.9272
B_gate_cooldown,2025-03-15T16:20:00Z,FLAT,84208.6,0,1766.111949,0,0,1766.111949,74.8576
B_gate_cooldown,2025-03-15T17:20:00Z,FLAT,84313.5,0,1766.156913,0,0,1766.156913,74.8572
B_gate_cooldown,2025-03-15T18:20:00Z,FLAT,84349.9,0,1765.388453,0,0,1765.388453,74.8642
B_gate_cooldown,2025-03-15T19:20:00Z,FLAT,84175.1,0,1762.117703,0,0,1762.117703,83.9799
B_gate_cooldown,2025-03-15T21:05:00Z,FLAT,84366,0,1760.960467,0,0,1760.960467,74.9044
B_gate_cooldown,2025-03-15T22:05:00Z,FLAT,84341.2,0,1759.466835,0,0,1759.466835,74.918
B_gate_cooldown,2025-03-15T23:05:00Z,FLAT,84328.8,0,1758.120036,0,0,1758.120036,74.9303
B_gate_cooldown,2025-03-16T10:05:00Z,FLAT,83899.8,0,1746.699144,0,0,1746.699144,84.1201
B_gate_cooldown,2025-03-16T00:05:00Z,FLAT,84316.8,0,1756.777956,0,0,1756.777956,84.0284
B_gate_cooldown,2025-03-16T05:05:00Z,FLAT,84336,0,1756.112753,0,0,1756.112753,74.9485
B_gate_cooldown,2025-03-16T06:05:00Z,FLAT,84328.3,0,1754.821635,0,0,1754.821635,74.9602
B_gate_cooldown,2025-03-16T07:05:00Z,FLAT,84188,0,1751.959184,0,0,1751.959184,84.0722
B_gate_cooldown,2025-03-16T08:50:00Z,FLAT,84243.6,0,1751.095112,0,0,1751.095112,84.0801
B_gate_cooldown,2025-03-16T10:05:00Z,FLAT,83899.8,0,1746.699144,0,0,1746.699144,84.1201
B_gate_cooldown,2025-03-17T23:55:00Z,OPEN,84011.5,0.01189540054,1718.270713,1000,-0.649557506,2717.621155,75.293
B_gate_cooldown,2025-03-17T05:05:00Z,FLAT,83410.4,0,1740.828428,0,0,1740.828428,75.0875
